"Step","train/loss","fresh-mountain-14 - train/loss__MIN","fresh-mountain-14 - train/loss__MAX","eval/loss","fresh-mountain-14 - eval/loss__MIN","fresh-mountain-14 - eval/loss__MAX"
"499","1.9176","1.9176","1.9176","","",""
"500","2.4617","2.4617","2.4617","","",""
"501","1.2181","1.2181","1.2181","","",""
"502","2.4034","2.4034","2.4034","","",""
"503","2.1105","2.1105","2.1105","","",""
"504","1.7456","1.7456","1.7456","","",""
"505","2.6913","2.6913","2.6913","","",""
"506","1.5325","1.5325","1.5325","","",""
"507","2.9461","2.9461","2.9461","","",""
"508","1.647","1.647","1.647","","",""
"509","2.0163","2.0163","2.0163","","",""
"510","2.9119","2.9119","2.9119","","",""
"511","1.5017","1.5017","1.5017","","",""
"512","2.4861","2.4861","2.4861","","",""
"513","0.9865","0.9865","0.9865","","",""
"514","2.3038","2.3038","2.3038","","",""
"515","2.0514","2.0514","2.0514","","",""
"516","1.7564","1.7564","1.7564","","",""
"517","1.1439","1.1439","1.1439","","",""
"518","2.1375","2.1375","2.1375","","",""
"519","2.547","2.547","2.547","","",""
"520","1.4438","1.4438","1.4438","","",""
"521","2.2285","2.2285","2.2285","","",""
"522","2.0881","2.0881","2.0881","","",""
"523","3.4211","3.4211","3.4211","","",""
"524","3.6919","3.6919","3.6919","","",""
"525","1.909","1.909","1.909","","",""
"526","1.6247","1.6247","1.6247","","",""
"527","2.4979","2.4979","2.4979","","",""
"528","1.3434","1.3434","1.3434","","",""
"529","2.1774","2.1774","2.1774","","",""
"530","2.0105","2.0105","2.0105","","",""
"531","2.3331","2.3331","2.3331","","",""
"532","2.0291","2.0291","2.0291","","",""
"533","2.5369","2.5369","2.5369","","",""
"534","2.6885","2.6885","2.6885","","",""
"535","2.9663","2.9663","2.9663","","",""
"536","1.0987","1.0987","1.0987","","",""
"537","1.8902","1.8902","1.8902","","",""
"538","2.232","2.232","2.232","","",""
"539","1.9452","1.9452","1.9452","","",""
"540","2.1403","2.1403","2.1403","","",""
"541","1.8459","1.8459","1.8459","","",""
"542","1.2449","1.2449","1.2449","","",""
"543","1.8116","1.8116","1.8116","","",""
"544","1.2968","1.2968","1.2968","","",""
"545","0.7711","0.7711","0.7711","","",""
"546","1.7703","1.7703","1.7703","","",""
"547","1.6033","1.6033","1.6033","","",""
"548","1.5862","1.5862","1.5862","","",""
"549","1.9713","1.9713","1.9713","","",""
"550","2.0507","2.0507","2.0507","","",""
"551","0.9198","0.9198","0.9198","","",""
"552","3.3397","3.3397","3.3397","","",""
"553","2.7162","2.7162","2.7162","","",""
"554","1.4807","1.4807","1.4807","","",""
"555","3.0459","3.0459","3.0459","","",""
"556","2.9129","2.9129","2.9129","","",""
"557","2.6744","2.6744","2.6744","","",""
"558","2.2132","2.2132","2.2132","","",""
"559","2.9181","2.9181","2.9181","","",""
"560","1.8415","1.8415","1.8415","","",""
"561","1.7749","1.7749","1.7749","","",""
"562","2.2815","2.2815","2.2815","","",""
"563","1.5021","1.5021","1.5021","","",""
"564","2.026","2.026","2.026","","",""
"565","1.4992","1.4992","1.4992","","",""
"566","2.0895","2.0895","2.0895","","",""
"567","2.5667","2.5667","2.5667","","",""
"568","2.8163","2.8163","2.8163","","",""
"569","1.3338","1.3338","1.3338","","",""
"570","1.7443","1.7443","1.7443","","",""
"571","1.7399","1.7399","1.7399","","",""
"572","1.597","1.597","1.597","","",""
"573","3.8111","3.8111","3.8111","","",""
"574","3.3972","3.3972","3.3972","","",""
"575","1.9525","1.9525","1.9525","","",""
"576","1.7176","1.7176","1.7176","","",""
"577","1.4553","1.4553","1.4553","","",""
"578","4.0185","4.0185","4.0185","","",""
"579","3.1082","3.1082","3.1082","","",""
"580","2.1934","2.1934","2.1934","","",""
"581","2.6259","2.6259","2.6259","","",""
"582","2.4117","2.4117","2.4117","","",""
"583","2.3225","2.3225","2.3225","","",""
"584","2.7803","2.7803","2.7803","","",""
"585","1.7002","1.7002","1.7002","","",""
"586","4.6115","4.6115","4.6115","","",""
"587","2.8157","2.8157","2.8157","","",""
"588","1.7769","1.7769","1.7769","","",""
"589","1.7213","1.7213","1.7213","","",""
"590","1.9496","1.9496","1.9496","","",""
"591","1.4961","1.4961","1.4961","","",""
"592","1.9418","1.9418","1.9418","","",""
"593","1.2341","1.2341","1.2341","","",""
"594","2.8834","2.8834","2.8834","","",""
"595","1.76","1.76","1.76","","",""
"596","1.7684","1.7684","1.7684","","",""
"597","3.6112","3.6112","3.6112","","",""
"598","1.4987","1.4987","1.4987","","",""
"599","1.5962","1.5962","1.5962","","",""
"600","1.4168","1.4168","1.4168","","",""
"601","","","","2.4848878383636475","2.4848878383636475","2.4848878383636475"
"602","1.6517","1.6517","1.6517","","",""
"603","1.8331","1.8331","1.8331","","",""
"604","1.5547","1.5547","1.5547","","",""
"605","1.4513","1.4513","1.4513","","",""
"606","1.4437","1.4437","1.4437","","",""
"607","1.9536","1.9536","1.9536","","",""
"608","1.4985","1.4985","1.4985","","",""
"609","1.7101","1.7101","1.7101","","",""
"610","1.8853","1.8853","1.8853","","",""
"611","2.3015","2.3015","2.3015","","",""
"612","1.7998","1.7998","1.7998","","",""
"613","1.7623","1.7623","1.7623","","",""
"614","1.9745","1.9745","1.9745","","",""
"615","1.3049","1.3049","1.3049","","",""
