"Step","train/loss","good-gorge-19 - train/loss__MIN","good-gorge-19 - train/loss__MAX","eval/loss","good-gorge-19 - eval/loss__MIN","good-gorge-19 - eval/loss__MAX"
"507","0.6494","0.6494","0.6494","","",""
"508","0.8413","0.8413","0.8413","","",""
"509","1.9274","1.9274","1.9274","","",""
"510","1.1802","1.1802","1.1802","","",""
"511","0.6492","0.6492","0.6492","","",""
"512","1.5727","1.5727","1.5727","","",""
"513","0.6099","0.6099","0.6099","","",""
"514","1.4134","1.4134","1.4134","","",""
"515","1.2931","1.2931","1.2931","","",""
"516","0.9992","0.9992","0.9992","","",""
"517","1.3731","1.3731","1.3731","","",""
"518","1.7411","1.7411","1.7411","","",""
"519","1.1518","1.1518","1.1518","","",""
"520","1.8184","1.8184","1.8184","","",""
"521","1.5905","1.5905","1.5905","","",""
"522","1.0972","1.0972","1.0972","","",""
"523","1.6445","1.6445","1.6445","","",""
"524","1.3963","1.3963","1.3963","","",""
"525","1.9294","1.9294","1.9294","","",""
"526","1.2465","1.2465","1.2465","","",""
"527","1.5418","1.5418","1.5418","","",""
"528","1.0257","1.0257","1.0257","","",""
"529","1.6865","1.6865","1.6865","","",""
"530","1.5889","1.5889","1.5889","","",""
"531","1.9498","1.9498","1.9498","","",""
"532","1.5329","1.5329","1.5329","","",""
"533","1.9187","1.9187","1.9187","","",""
"534","1.7688","1.7688","1.7688","","",""
"535","0.9119","0.9119","0.9119","","",""
"536","1.4716","1.4716","1.4716","","",""
"537","1.6231","1.6231","1.6231","","",""
"538","1.4742","1.4742","1.4742","","",""
"539","1.2578","1.2578","1.2578","","",""
"540","1.4189","1.4189","1.4189","","",""
"541","1.9526","1.9526","1.9526","","",""
"542","1.4941","1.4941","1.4941","","",""
"543","0.9239","0.9239","0.9239","","",""
"544","1.6765","1.6765","1.6765","","",""
"545","1.7199","1.7199","1.7199","","",""
"546","1.6864","1.6864","1.6864","","",""
"547","1.5012","1.5012","1.5012","","",""
"548","0.8496","0.8496","0.8496","","",""
"549","0.671","0.671","0.671","","",""
"550","1.3637","1.3637","1.3637","","",""
"551","1.2564","1.2564","1.2564","","",""
"552","1.8244","1.8244","1.8244","","",""
"553","1.5386","1.5386","1.5386","","",""
"554","1.8736","1.8736","1.8736","","",""
"555","1.8436","1.8436","1.8436","","",""
"556","1.6635","1.6635","1.6635","","",""
"557","1.9455","1.9455","1.9455","","",""
"558","0.685","0.685","0.685","","",""
"559","1.7321","1.7321","1.7321","","",""
"560","1.3539","1.3539","1.3539","","",""
"561","1.624","1.624","1.624","","",""
"562","1.5906","1.5906","1.5906","","",""
"563","1.403","1.403","1.403","","",""
"564","1.5815","1.5815","1.5815","","",""
"565","1.1464","1.1464","1.1464","","",""
"566","1.8011","1.8011","1.8011","","",""
"567","1.329","1.329","1.329","","",""
"568","1.6348","1.6348","1.6348","","",""
"569","1.7361","1.7361","1.7361","","",""
"570","2.0465","2.0465","2.0465","","",""
"571","1.0905","1.0905","1.0905","","",""
"572","1.5224","1.5224","1.5224","","",""
"573","2.0442","2.0442","2.0442","","",""
"574","1.4795","1.4795","1.4795","","",""
"575","1.9285","1.9285","1.9285","","",""
"576","1.0687","1.0687","1.0687","","",""
"577","1.5636","1.5636","1.5636","","",""
"578","0.6021","0.6021","0.6021","","",""
"579","1.6702","1.6702","1.6702","","",""
"580","1.2836","1.2836","1.2836","","",""
"581","1.6023","1.6023","1.6023","","",""
"582","1.6477","1.6477","1.6477","","",""
"583","1.7411","1.7411","1.7411","","",""
"584","1.577","1.577","1.577","","",""
"585","1.9609","1.9609","1.9609","","",""
"586","1.0219","1.0219","1.0219","","",""
"587","1.5534","1.5534","1.5534","","",""
"588","1.6095","1.6095","1.6095","","",""
"589","1.6407","1.6407","1.6407","","",""
"590","1.3148","1.3148","1.3148","","",""
"591","1.3398","1.3398","1.3398","","",""
"592","1.2072","1.2072","1.2072","","",""
"593","0.8494","0.8494","0.8494","","",""
"594","1.9918","1.9918","1.9918","","",""
"595","1.1514","1.1514","1.1514","","",""
"596","1.456","1.456","1.456","","",""
"597","1.4857","1.4857","1.4857","","",""
"598","1.4961","1.4961","1.4961","","",""
"599","1.8026","1.8026","1.8026","","",""
"600","1.9248","1.9248","1.9248","","",""
"601","1.917","1.917","1.917","","",""
"602","0.7734","0.7734","0.7734","","",""
"603","1.0462","1.0462","1.0462","","",""
"604","1.3205","1.3205","1.3205","","",""
"605","","","","1.677878499031067","1.677878499031067","1.677878499031067"
"606","1.1326","1.1326","1.1326","","",""
"607","0.7782","0.7782","0.7782","","",""
"608","1.7189","1.7189","1.7189","","",""
"609","1.4357","1.4357","1.4357","","",""
"610","1.6476","1.6476","1.6476","","",""
"611","1.6224","1.6224","1.6224","","",""
"612","1.6742","1.6742","1.6742","","",""
"613","1.9422","1.9422","1.9422","","",""
"614","1.8095","1.8095","1.8095","","",""
"615","1.678","1.678","1.678","","",""
